household_id,cluster,mae
6391,2,19.792714286732043
6408,2,7.862143864441774
6410,0,4.850966833727132
6447,0,4.819638990002239
6457,0,4.010914112869869
6461,0,1.729176491694997
6463,0,7.237948429028212
6475,0,1.6227425850000274
6481,0,5.896165537825593
6504,0,4.193513095327904
6524,0,1.3592677529577764
6525,0,2.779226344066727
6527,0,5.389903382461637
6559,0,7.362475499363031
6592,1,27.477319211781506
6594,0,2.2543006289202587
6623,0,4.54400758102783
6640,0,4.3585675636733505
6641,0,5.969701010698142
6656,2,10.262430282826369
6665,0,2.7551478475182365
6670,0,11.488076751657154
6718,0,4.162547514891735
6773,0,5.545323463029228
6831,0,4.535870333133042
6837,0,8.04830683534875
6848,0,6.62071974759322
6860,0,8.045787662573034
6873,2,20.988091779117905
6909,2,9.119452574573822
6911,0,2.7972132733411543
6920,1,26.289457161224814
6921,0,3.682862039236357
6934,0,3.1575611839397504
6955,0,4.397270019140045
6988,0,4.260271427215209
7005,1,63.95980948325799
7047,0,3.9209821809970222
7092,0,4.740553608457999
7095,0,0.763510350777383
7165,2,8.442868731219919
7168,2,20.0905526534466
7181,0,1.8774542398029375
7190,0,0.1340111145278028
7213,0,3.912246568707617
7222,0,4.419853004717422
7241,0,0.24781701748419416
7285,0,4.589314062622616
7289,2,8.877409056419708
7296,0,4.226323463062122
7297,2,27.43053542322508
7322,2,8.486428056933708
7324,0,2.966458238533922
7334,0,5.1318591041613475
7363,2,22.027625931254786
7371,0,0.4796134027363169
7373,0,3.87620703509565
7390,0,7.114938612914874
7420,2,12.137095784461819
7433,0,0.4795374284483529
7436,0,4.486851100833363
7460,2,9.359784788443955
7465,2,9.218577473492507
7471,0,5.221011154333793
7478,0,4.348398466381852
7523,0,4.033046564218173
7537,0,2.5839894585086736
7558,0,8.017943226341083
7581,2,20.090175019434707
7588,0,4.443930200628352
7599,0,2.4979235875910986
7603,0,2.8868067164008715
7613,0,3.02426376242288
7665,2,26.12298527290321
7680,2,15.655030987257842
7690,0,7.596702815297378
7698,2,12.657839729847272
7730,0,3.4300097408774732
7747,0,2.529323012291377
7753,0,6.642629747594245
7788,0,0.4436349722840542
7799,0,4.507458838845787
7835,0,11.669618494801334
7862,0,4.201633306890325
7919,0,5.186434117839017
7941,2,6.379822700562338
7945,0,3.663190916821182
7969,0,8.636777981540995
7979,2,20.787258410477797
7982,0,0.8912999013833285
7987,0,3.351672617556002
7989,0,2.126942255140889
8007,0,4.056190492338315
8008,0,1.0680218241730877
8022,0,4.236819636748282
8057,0,7.2385754873578865
8079,2,7.288114489076636
8080,0,1.7096532629135046
8081,0,7.106428258622958
8099,0,4.168690842470709
8104,0,1.529639579579814
8112,2,8.008700576508158
8117,2,6.984736435591595
8122,0,4.828180238468509
8140,0,3.482760536642901
8175,0,1.3205065623198124
8208,0,0.8118370291812038
8224,2,6.499778391696699
8231,0,6.525973215189417
8247,0,6.076033140101105
8266,0,4.7878780935663405
8278,0,4.0702866184356425
8280,2,42.72087181028882
8288,0,6.554124394292473
8324,2,18.412414939655367
8344,0,4.358770237051546
8345,2,10.659585067948903
8382,2,13.358307355330766
8410,0,0.1340111145278028
8415,0,1.9789523223596697
8417,0,2.8468060226549383
8427,0,3.84875006911593
8447,0,3.5827091897580137
8473,0,4.857235686438326
8488,0,5.097825407136018
8513,0,5.1440493618602865
8518,2,8.441933782902284
8521,0,4.764729247037842
8531,0,1.2051623287639226
8543,0,1.2273502135419774
8562,0,4.185432969204806
8597,0,4.285882137112208
8605,2,8.598313451074564
8672,0,3.462454688672719
8696,2,12.656190100748837
8729,0,2.4453209345362596
8763,0,5.349516268097392
8770,0,4.273251106721359
8793,0,17.2665392719271
8822,0,0.13100363481145863
8832,0,4.902997296532243
8849,0,4.017310875703961
8877,0,1.6073006859399275
8886,0,2.8879744064526385
8891,0,3.515994407082445
8896,0,5.064076081208158
8919,0,7.919829642493605
8922,2,25.713103813830706
8937,0,3.7337255680226056
8972,2,13.012691478797192
9002,0,4.127122006433064
9031,2,17.231267098685162
9067,0,4.0196436065937675
9078,0,10.329241248091769
9121,0,0.8136627626944362
9135,0,4.942837041024916
9153,0,7.1149118157991476
9154,2,21.8911245579903
9160,0,2.1290866267297153
9164,0,4.503386137146564
9165,2,14.468314580544638
9196,0,3.18330097422242
9204,0,5.385517491391701
9241,0,4.756779968624851
9289,0,4.6030101327746324
9305,0,1.8937286478621378
9328,0,3.8010500944461887
9342,2,26.02306634166328
9368,0,3.19238300401238
9401,0,3.1370625924200852
9403,0,3.2138444173555
9409,0,0.359695213891763
9453,0,3.779071341762749
9461,0,14.96682990766544
9465,0,1.7468318700518455
9510,0,5.0328742735230145
9524,0,4.069292900446595
9564,0,10.153312586917144
9678,0,4.419944502361363
9706,0,1.4342809449462088
9730,0,4.3641783261265
9736,2,14.140899987591029
9752,0,4.090895081462855
9797,0,1.283521512794133
9810,0,3.2299962469650603
9845,2,14.5361559354012
9859,0,3.991394881372356
9946,0,3.2143268796641014
9965,2,11.85903904372288
10001,0,0.9913232281332199
10012,2,7.050481477690442
10030,0,2.415290712262683
10041,0,4.3961187722994275
10042,0,7.826610192258271
10047,0,10.253249756892899
10053,2,22.875331170285428
10061,0,3.475030604642926
10081,0,5.939040767951377
10108,0,2.4616112680220725
10111,0,10.611004285811322
10115,0,6.44414217967637
10152,0,3.3800373849440115
10161,0,4.234717622617058
10177,0,6.084389170616775
10178,0,0.8789899767162602
10180,2,14.818402394043645
10190,0,4.541669226168271
10204,0,3.0985176778737977
10216,0,0.5277378460311712
10241,0,3.3386914188347765
10257,2,14.70498676234634
10268,0,1.038698494100367
10290,0,4.208685719723703
10293,0,5.4803992894674165
10349,0,1.5196242232613957
10426,0,1.3560779632804825
10441,0,5.283281198334223
10447,2,15.85387021271838
10452,0,3.822268220082034
10498,0,5.6691806903721575
10500,0,2.6104871910740233
10521,0,1.0626634758408864
10538,0,1.7234164513637968
10541,0,4.989263608668384
10554,0,1.3329387165350013
10569,0,5.359295892530022
10597,0,4.114706387404889
10613,0,4.52208618349558
10629,2,5.681665360133344
10634,0,9.0815120448992
10640,2,15.108770950242192
10651,0,4.639837240182069
10664,0,5.407430014838737
10671,0,1.114462274417232
10685,0,2.5442306408274886
10687,2,8.865663566755703
10689,0,3.4679069339656396
10692,0,2.385329240596517
10698,0,3.6066814032102616
10701,2,15.65454012803341
10703,2,6.546859147448528
10712,0,8.46483430069453
10730,0,4.644530792393472
10738,2,22.36669241534113
10741,0,4.016434086025022
10770,2,47.87806843030562
10830,0,6.479745777007612
10838,0,0.1340111145278028
10840,0,4.620208028460841
10858,2,27.83415308246591
10873,0,4.412436016391119
10880,0,3.2087371030336587
10891,0,1.0436910815752034
10908,0,12.01473134420367
10924,0,1.6505928467922009
10931,2,27.796550878411274
10938,0,3.7376212174330723
10982,0,2.5091369913609807
10989,0,4.765306698932216
10990,0,3.780347247019381
10996,0,1.694923779145914
10999,0,4.73906581165334
11024,0,4.828255485805168
11026,0,4.8549738855150775
11049,2,5.686337009019469
11053,0,1.9781912658188392
11077,0,5.001635380442108
11094,0,1.533941129062111
11098,0,12.578982019604702
11103,0,6.007032070362529
11106,0,5.49737719843983
11109,0,3.0415092913925377
11116,0,12.105211341774377
11134,0,1.22732307435948
11144,0,3.55115751642741
11174,0,4.962312740041352
11195,0,4.919459927243618
11215,0,5.164940918068961
11217,2,2.965836331050879
11231,0,4.574434402052153
11245,0,1.0979763971502963
11284,0,5.120625807586452
11290,0,3.3766063271934605
11291,2,20.537970902175164
11301,0,7.826510135853838
11315,2,12.635482707770883
11338,0,4.7194999386614604
11346,0,1.939178715990574
11350,0,4.385106684117209
11368,0,3.2852144791965316
11409,0,8.352966147417385
11424,0,0.8317808972887356
11428,0,1.5231147929329731
11447,0,5.0962860472754015
11472,0,2.3162785022945247
11486,2,7.123115343163397
11536,0,4.264491107250231
11575,2,5.458658161192448
11608,0,3.808170132631679
11625,2,10.53472916943811
11628,0,1.3052511292580498
11656,0,3.244886347618266
11667,0,11.143718569133371
11694,0,3.401988792151726
11695,0,6.274634183320624
11699,0,5.473409265488268
11700,2,6.504064853712439
11701,0,8.272601133860602
11705,0,3.9706380861468156
11714,2,7.580757297878507
11717,0,3.9722111067669355
11761,0,3.1271880510418564
11772,0,4.541667926521232
11793,2,22.744921553575885
11800,0,4.55846595006171
11817,0,3.52280960767118
11886,0,8.451722833605169
