ID,cluster
17953,0
17964,0
17965,0
17975,0
17977,0
17978,0
18048,0
18053,0
18062,0
18099,2
18111,2
18159,2
18203,0
18215,0
18218,0
18220,0
18279,0
18330,0
18353,0
18384,0
18399,0
18408,0
18433,0
18450,0
18468,0
18499,0
18506,0
18514,0
18551,0
18560,0
18562,0
18616,0
18673,0
18732,0
18737,0
18752,0
18762,2
18777,2
18778,2
18785,2
18790,2
18800,0
18804,0
18808,0
18809,0
18810,0
18820,0
18921,0
18922,2
18937,0
18942,0
18988,2
19007,0
19020,0
19052,0
19062,0
19078,0
19082,0
19094,0
19114,0
19175,0
19178,0
19192,0
19198,0
19202,0
19203,0
19216,0
19217,0
19223,0
19243,0
19258,0
19270,2
19275,0
19298,0
19302,0
19308,0
19331,0
19337,0
19338,0
19350,0
19359,0
19362,0
19399,0
19416,0
19417,0
19437,0
19447,0
19508,0
19528,0
19540,0
19573,0
19587,0
19593,0
19596,0
19604,0
19650,2
19651,0
19673,0
19726,2
19727,0
19743,0
19746,0
19786,0
19829,0
19895,0
19908,0
19913,0
19917,0
19947,2
19964,0
19978,0
19980,2
20055,2
20059,0
20064,0
20071,0
20072,0
20077,0
20101,0
20105,0
20114,2
20135,0
20156,0
20176,0
20189,0
20220,0
20224,0
20241,0
20252,0
20280,2
20281,2
20351,0
20389,0
20394,0
20398,0
20399,2
20403,0
20453,2
20469,2
20498,0
20534,0
20543,0
20559,0
20565,0
20573,2
20592,0
20601,0
20631,2
20648,0
20682,2
20718,2
20746,2
20754,0
20781,2
20801,0
20824,0
20891,0
20900,0
20907,0
20910,0
20946,0
20960,2
20962,0
21041,0
21049,0
21086,0
21113,0
21125,0
21143,0
21162,0
21175,2
21201,2
21253,0
21279,0
21298,0
21316,0
21331,2
21337,0
21359,0
21383,0
21389,0
21392,0
21393,0
21394,2
21395,0
21398,0
21405,2
21423,0
21439,0
21534,0
21571,0
21628,0
21634,2
21640,0
21643,0
21655,0
21657,0
21665,2
21704,0
21712,0
21717,0
21740,2
21775,0
21794,0
21804,2
21812,0
21817,0
21829,0
21848,0
21850,0
21854,0
21862,0
21868,0
